id,road_type,num_lanes,curvature,speed_limit,lighting,weather,road_signs_present,public_road,time_of_day,holiday,school_season,num_reported_accidents,accident_risk
50309,highway,1,0.09,45,dim,rainy,False,False,afternoon,True,False,2,0.15
95219,urban,4,0.14,60,daylight,rainy,False,True,morning,True,False,0,0.2
197653,highway,2,0.51,25,dim,rainy,True,True,evening,False,False,0,0.29
111236,rural,1,0.33,60,daylight,clear,False,True,morning,False,True,1,0.25
147247,urban,4,0.12,60,daylight,foggy,False,True,afternoon,False,False,1,0.32
353495,highway,4,0.01,35,daylight,clear,True,False,afternoon,False,False,2,0.05
285002,urban,2,1.0,70,dim,foggy,True,False,evening,True,True,3,0.76
249557,highway,4,0.43,25,dim,foggy,False,True,evening,True,False,1,0.21
417657,urban,3,0.54,45,dim,foggy,True,True,afternoon,True,False,2,0.18
400306,highway,1,0.93,25,dim,clear,False,True,evening,False,False,1,0.3
366550,rural,2,0.1,60,daylight,clear,True,False,afternoon,True,False,2,0.25
219723,highway,3,0.55,70,night,clear,True,True,afternoon,True,True,1,0.57
149309,highway,4,0.54,35,daylight,rainy,True,True,evening,True,True,1,0.28
156746,highway,3,0.35,70,daylight,rainy,False,True,evening,True,False,0,0.37
512352,urban,1,0.65,25,night,clear,True,False,morning,True,False,1,0.34
78273,highway,1,0.57,45,dim,clear,True,False,afternoon,False,True,1,0.16
395971,urban,1,0.73,45,daylight,rainy,False,False,morning,True,True,0,0.38
440355,highway,2,0.62,25,night,rainy,True,True,evening,True,True,2,0.51
401961,rural,4,0.83,25,night,foggy,False,True,morning,True,False,3,0.54
24725,rural,4,0.01,70,daylight,foggy,False,True,evening,False,False,2,0.27
242321,urban,2,0.88,35,dim,foggy,False,True,evening,False,True,0,0.36
428252,rural,1,0.45,35,dim,foggy,False,True,afternoon,False,True,1,0.18
57250,urban,4,0.92,25,dim,clear,True,True,afternoon,True,False,2,0.24
300722,urban,3,0.54,25,dim,foggy,False,True,afternoon,False,True,3,0.28
316773,urban,4,0.6,60,daylight,clear,True,True,evening,True,True,0,0.38
105667,highway,2,0.28,45,daylight,foggy,False,True,afternoon,True,False,2,0.18
159177,highway,3,0.02,60,daylight,foggy,False,False,morning,True,False,2,0.27
58096,rural,3,0.97,35,dim,foggy,False,False,evening,False,True,0,0.36
323180,highway,4,0.75,60,daylight,foggy,False,False,morning,False,True,3,0.6
398555,highway,4,0.83,70,dim,foggy,True,False,evening,False,False,1,0.56
431636,rural,2,0.31,70,daylight,clear,False,True,afternoon,True,True,2,0.32
182634,rural,4,0.0,60,dim,clear,False,True,afternoon,False,True,2,0.18
234908,urban,3,0.46,25,daylight,clear,True,True,afternoon,False,False,2,0.11
3581,rural,3,0.08,25,night,rainy,True,False,afternoon,True,False,1,0.31
453453,rural,2,0.31,35,night,rainy,True,True,afternoon,False,True,2,0.28
363661,urban,3,0.02,25,night,rainy,False,False,morning,True,False,4,0.2
